四川成都电信,#genre#
直播室7,http://192.168.3.1:8188/rtp/239.94.2.17:5140?FCC=182.139.234.40:8027
直播室8,http://192.168.3.1:8188/rtp/239.94.2.18:5140?FCC=182.139.234.40:8027
红原日干乔,http://192.168.3.1:8188/rtp/239.94.2.19:5140?FCC=182.139.234.40:8027
红原月亮湾,http://192.168.3.1:8188/rtp/239.94.2.20:5140?FCC=182.139.234.40:8027
电信导视3,http://192.168.3.1:8188/rtp/239.94.2.21:5140?FCC=182.139.234.40:8027
雅克音乐节直播,http://192.168.3.1:8188/rtp/239.94.2.23:5140?FCC=182.139.234.40:8027
雅克音乐节宣传,http://192.168.3.1:8188/rtp/239.94.2.24:5140?FCC=182.139.234.40:8027
云演艺宣传,http://192.168.3.1:8188/rtp/239.94.2.25:5140?FCC=182.139.234.40:8027
华西证券,http://192.168.3.1:8188/rtp/239.94.2.42:5140?FCC=182.139.234.40:8027
920-全网组播,http://192.168.3.1:8188/rtp/239.94.2.128:5140?FCC=182.139.234.40:8027
921-全网组播,http://192.168.3.1:8188/rtp/239.94.2.129:5140?FCC=182.139.234.40:8027
922-全网组播,http://192.168.3.1:8188/rtp/239.94.2.131:5140?FCC=182.139.234.40:8027
923-全网组播,http://192.168.3.1:8188/rtp/239.94.2.132:5140?FCC=182.139.234.40:8027
924-全网组播,http://192.168.3.1:8188/rtp/239.94.2.135:5140?FCC=182.139.234.40:8027
925-全网组播,http://192.168.3.1:8188/rtp/239.94.2.137:5140?FCC=182.139.234.40:8027
926-全网组播,http://192.168.3.1:8188/rtp/239.94.2.139:5140?FCC=182.139.234.40:8027
927-全网组播,http://192.168.3.1:8188/rtp/239.94.2.140:5140?FCC=182.139.234.40:8027
